RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
BE0457370044;CRLYBEBB;BE;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;;Chaussée de La Hulpe, 120;1000;Brussel;Credit institution S122;FR;Crédit agricole corporate and investment bank;FR31489;Y;N;BE0457370044
BE0401517147;CTBKBEBX;BE;BEOBANK NV/SA;G;Koning Albert II-laan, 2;1000;Bruxelles;Credit institution S122;;;;Y;N;BE0401517147
BE0403212172;DEGRBEBB;BE;BANK DEGROOF PETERCAM;;Nijverheidsstraat, 44;1040;Brussel;Credit institution S122;;;;Y;N;BE0403212172
BE0453076211;DELEBE22;BE;DELEN PRIVATE BANK;;Jan Van Rijswijcklaan, 184;2020;Antwerpen;Credit institution S122;;;;Y;N;BE0453076211
BE0418371094;DEUTBEBE;BE;DEUTSCHE BANK AG;;Avenue Marnix, 13-15;1000;Bruxelles;Credit institution S122;DE;DEUTSCHE BANK AKTIENGESELLSCHAFT;DE00001;Y;N;BE0418371094
BE0464655437;DHBNBEBB;BE;DEMIR - HALK BANK NEDERLAND;;Keizerinlaan, 66;1000;Bruxelles;Credit institution S122;NL;Demir-Halk Bank (Nederland) N.V.;NL548;Y;N;BE0464655437
BE0413564943;DIERBE21;BE;Dierickx Leys Private Bank;;Kasteelpleinstraat, 44;2000;Antwerpen;Credit institution S122;;;;Y;N;BE0413564943
BE0456775869;DNIBBE21;BE;NIBC  Bank n.v;;Koningsstraat, 71;1000;Brussel;Credit institution S122;NL;NIBC Bank N.V.;NL685;Y;N;BE0456775869
BE0879995183;ENIBBEBB;BE;BANQUE ENI;;Rue Guimard, 1A;1040;Brussel;Credit institution S122;;;;Y;N;BE0879995183
BE0400028394;EURBBE99;BE;Europabank;;Burgstraat, 170;9000;Gent;Credit institution S122;;;;Y;N;BE0400028394
BE0879257191;FTNOBEB1;BE;ARKEA DIRECT BANK;;Vorstlaan, 100;1170;Watermael-Boitsfort;Credit institution S122;FR;ARKEA DIRECT BANK;FR14518;Y;N;BE0879257191
